STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
1411,SEP,Thương mại Quảng Trị,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
1412,SGB,Sài Gòn Công thương,UPCoM,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng
1413,SGI,ĐT PT Sài Gòn 3 Group,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
1414,SGP,Cảng Sài Gòn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
1415,SGS,Vận tải biển Sài Gòn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
1416,SGV,Vinaconex Sài Gòn,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1417,SHC,Hàng hải Sài Gòn,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
1418,SHG,Tổng Công ty Sông Hồng,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1419,SID,Đầu tư PT Sài Gòn Co.op,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1420,SIG,Đầu tư và Thương mại Sông Đà,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1421,SII,Hạ tầng Nước Sài Gòn,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
1422,SIV,SIVICO,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1423,SJC,Sông Đà 1.01,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1424,SJF,Đầu tư Sao Thái Dương,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
1425,SJG,Tổng Công ty Sông Đà,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1426,SJM,Sông Đà 19,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1427,SKH,NGK Sanest Khánh Hòa,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
1428,SKN,NGK Sanna Khánh Hòa,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
1429,SKV,NGK Yến sào Khánh Hòa,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
1430,SNC,Thủy sản Năm Căn,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1431,SNZ,SONADEZI,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1432,SP2,Thủy điện Sử Pán 2,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
1433,SPB,Sợi Phú Bài,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
1434,SPD,Thủy sản Miền Trung,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1435,SPH,XNK Thủy sản Hà Nội,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1436,SPV,Thủy đặc sản,UPCoM,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
1437,SQC,Khoáng sản SG-Quy Nhơn,UPCoM,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
1438,SRB,SARA,UPCoM,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
1439,SSF,Giáo dục G Sài Gòn,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép
1440,SSG,Vận tải Biển Hải Âu,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy
